name
Аллигаторова Щука
Американская Сельдь
Американский Голец
Атлантический Лосось
Белуга
Белый Амур
Белый Басс
Белый Краппи
Белый Осетр
Белый Сом
Белый Толстолобик
Белый Чукучан
Берш
Большеголовый Голец
Большеротый Басс
Бычок-Кругляк
Бычок-Песочник
Вобла
Глазчатый стронотус
Голавль
Голубой Сом
Голый Карп
Голый Маскинонг
Горбуша
Густера
Даллия
Длинноносый Панцирник
Длинноносый Чукучан
Европейская Кумжа
Европейский Горчак
Европейский Угорь
Европейский Хариус
Ёрш Обыкновенный 
Желтый Окунь
Жерех
Зеленый Солнечник
Зеркальный Карп
Золотистый Шайнер
Золотой Линь
Золотой Карась
Ильная Рыба
Калифорнийская Плотва
Канадский Судак
Канальный Сомик
Карасекарп
Карп (Сазан)
Карп Альбинос
Кета
Кижуч
Коричневый Сомик
Красногорлая Форель
Красногрудый Солнечник
Красноперая Щука
Красноперка
Красноухий Солнечник
Красный Горбыль
Кумжа
Лещ Обыкновенный
Линь
Малоротый Басс
Малоротый Буффало
Мальма
Мраморная Форель
Налим
Нерка
Обыкновенная Щука
Обыкновенный Солнечник
Озерная Форель
Озерный Осетр
Озерный Цезиус
Оливковый Сом
Орегонская Форель
Павлиний Басс
Пескарь Обыкновенный
Пестрый Толстолобик
Плотва
Полосатая Щука
Полосатый Лаврак
Пресноводный Горбыль
Пятнистый Басс
Радужная Форель
Речная Камбала
Речной Окунь
Ручьевая Форель
Светлоперый Судак
Сельдевидный Сиг
Серебряный Карась
Синежаберный Солнечник
Синец
Скалистая Золотая Форель
Скальный Окунь
Снук Обыкновенный
Сом Вымпельный Морской
Сом Обыкновенный
Сплейк
Стальноголовый Лосось
Судак Обыкновенный
Тарпон
Тигровая Форель
Тигровый Маскинонг
Толстоголовый Гольян
Толстогубая Кефаль
Травяная Щука
Уклейка Обыкновенная
Усач Обыкновенный
Флоридский Панцирник
Чавыча
Чернохвостый Шайнер
Черный Краппи
Черный Солнечник
Черный Сомик
Чехонь
Шайнер Обыкновенный
Щука-маскинонг
Язь
